structure_id,relative_cif_path,node_count,edge_count,intralayer_edge_count,interlayer_edge_count,distance_cutoff,has_edges,edge_distance_mean,edge_distance_std,edge_distance_min,edge_distance_max,energy,delta_energy,lower_rotation,displacement,upper_rotation,graph_file
L0_D4.8_U240,r0/t4.8/t4.8_240.cif,156,3690,3492,198,4.5,True,3.0593064649262995,0.8959051874888637,0.9773049251866505,4.498216903788181,-936.56441,0.075390000000084,0.0,4.8,240.0,L0_D4.8_U240.pkl
L0_D4.8_U260,r0/t4.8/t4.8_260.cif,156,3702,3498,204,4.5,True,3.0677663829031543,0.9025152630724942,0.9772579806558196,4.497740554832409,-936.51143,0.128370000000018,0.0,4.8,260.0,L0_D4.8_U260.pkl
L0_D4.8_U280,r0/t4.8/t4.8_280.cif,156,3704,3492,212,4.5,True,3.072220891519516,0.9045789034928975,0.9772416076470005,4.498948649601143,-936.45536,0.184439999999995,0.0,4.8,280.0,L0_D4.8_U280.pkl
L0_D4.8_U300,r0/t4.8/t4.8_300.cif,156,3738,3490,248,4.5,True,3.0744982944317822,0.9006588004536246,0.9771498459655572,4.499897604542804,-936.42363,0.2161700000000337,0.0,4.8,300.0,L0_D4.8_U300.pkl
L0_D4.8_U320,r0/t4.8/t4.8_320.cif,156,3776,3462,314,4.5,True,3.075859908777007,0.8990989140947214,0.9774473376487106,4.498746567688907,-936.71757,-0.0777699999999868,0.0,4.8,320.0,L0_D4.8_U320.pkl
L0_D4.8_U340,r0/t4.8/t4.8_340.cif,156,3756,3488,268,4.5,True,3.0743331101733844,0.9057907641153049,0.9776044698611798,4.499659390081355,-936.53803,0.1017699999999877,0.0,4.8,340.0,L0_D4.8_U340.pkl
L0_D4.8_U40,r0/t4.8/t4.8_40.cif,156,3602,3498,104,4.5,True,3.047363755108928,0.9029515284969502,0.9771918318782852,4.498213137954992,-936.01694,0.6228600000000597,0.0,4.8,40.0,L0_D4.8_U40.pkl
L0_D4.8_U60,r0/t4.8/t4.8_60.cif,156,3744,3488,256,4.5,True,3.07630574308984,0.9008584994214401,0.9774077054236658,4.496300698676396,-936.35984,0.2799600000000737,0.0,4.8,60.0,L0_D4.8_U60.pkl
L0_D4.8_U80,r0/t4.8/t4.8_80.cif,156,3724,3478,246,4.5,True,3.07693957234544,0.9031088320390009,0.9772429406446769,4.4969869025349904,-936.49024,0.1495600000000649,0.0,4.8,80.0,L0_D4.8_U80.pkl
L0_D6_U0,r0/t6.0/t6.0_0.cif,156,3630,3476,154,4.5,True,3.0786668405744377,0.9102689778318264,0.9772090296950827,4.495835364095378,-936.04947,0.5903299999999945,0.0,6.0,0.0,L0_D6_U0.pkl
L0_D6_U100,r0/t6.0/t6.0_100.cif,156,3810,3460,350,4.5,True,3.100612182815154,0.9042449401788462,0.977103628399091,4.499144723875272,-936.78068,-0.1408799999999246,0.0,6.0,100.0,L0_D6_U100.pkl
L0_D6_U120,r0/t6.0/t6.0_120.cif,156,3722,3458,264,4.5,True,3.08805489278367,0.9064383489131816,0.9769953787150808,4.499066268127349,-936.57268,0.0671200000000453,0.0,6.0,120.0,L0_D6_U120.pkl
L0_D6_U140,r0/t6.0/t6.0_140.cif,156,3764,3468,296,4.5,True,3.098457024636222,0.9041706853382111,0.9769004576823032,4.499781572722715,-936.63512,0.0046800000000075,0.0,6.0,140.0,L0_D6_U140.pkl
L0_D6_U160,r0/t6.0/t6.0_160.cif,156,3620,3464,156,4.5,True,3.068804891226981,0.9068182783477904,0.9765559675215476,4.499095189975544,-936.20636,0.4334400000000187,0.0,6.0,160.0,L0_D6_U160.pkl
L0_D6_U180,r0/t6.0/t6.0_180.cif,156,3550,3462,88,4.5,True,3.0518283307225413,0.9069315980480142,0.9772542080958908,4.496674482357274,-936.17177,0.4680299999999988,0.0,6.0,180.0,L0_D6_U180.pkl
L0_D6_U20,r0/t6.0/t6.0_20.cif,156,3588,3466,122,4.5,True,3.0703119444440605,0.9070182167154397,0.9771623537075194,4.499895245086086,-936.1078,0.5320000000000391,0.0,6.0,20.0,L0_D6_U20.pkl
L0_D6_U200,r0/t6.0/t6.0_200.cif,156,3562,3468,94,4.5,True,3.060201346315838,0.9064918069523604,0.9773614978886103,4.499583896318981,-936.25043,0.3893699999999853,0.0,6.0,200.0,L0_D6_U200.pkl
L0_D6_U220,r0/t6.0/t6.0_220.cif,156,3644,3462,182,4.5,True,3.077953990368346,0.9067977586433349,0.9774962495320529,4.498858881934475,-936.42779,0.2120100000000775,0.0,6.0,220.0,L0_D6_U220.pkl
L0_D6_U240,r0/t6.0/t6.0_240.cif,156,3702,3470,232,4.5,True,3.0828827646274,0.9046595118714946,0.9772638207344595,4.498437191317194,-936.5038,0.1360000000000809,0.0,6.0,240.0,L0_D6_U240.pkl
L0_D6_U260,r0/t6.0/t6.0_260.cif,156,3688,3480,208,4.5,True,3.0788780109723586,0.9058317168447744,0.9774495107079108,4.499564690646717,-936.44579,0.1940100000000484,0.0,6.0,260.0,L0_D6_U260.pkl
L0_D6_U280,r0/t6.0/t6.0_280.cif,156,3694,3482,212,4.5,True,3.0837776336185105,0.9069994817960056,0.9774020138042345,4.497793719786461,-936.43376,0.2060400000000299,0.0,6.0,280.0,L0_D6_U280.pkl
L0_D6_U300,r0/t6.0/t6.0_300.cif,156,3708,3476,232,4.5,True,3.0836186612733467,0.9048162535058353,0.9770591932768853,4.497985533587908,-936.41368,0.2261200000000371,0.0,6.0,300.0,L0_D6_U300.pkl
L0_D6_U320,r0/t6.0/t6.0_320.cif,156,3758,3476,282,4.5,True,3.0943844652619963,0.9048731945586517,0.9766994421457498,4.499273112509028,-936.31414,0.3256600000000844,0.0,6.0,320.0,L0_D6_U320.pkl
L0_D6_U340,r0/t6.0/t6.0_340.cif,156,3628,3472,156,4.5,True,3.070333299771105,0.9071311852123943,0.9770654749339587,4.4972765238899175,-936.0436,0.5962000000000671,0.0,6.0,340.0,L0_D6_U340.pkl
L0_D6_U40,r0/t6.0/t6.0_40.cif,156,3560,3476,84,4.5,True,3.0647268603713975,0.9097286894717478,0.9773595940118693,4.495298712191948,-936.06455,0.5752499999999827,0.0,6.0,40.0,L0_D6_U40.pkl
L0_D6_U60,r0/t6.0/t6.0_60.cif,156,3620,3464,156,4.5,True,3.0761190152721842,0.9081861969898125,0.9773871660230545,4.4993557938379425,-936.16251,0.477290000000039,0.0,6.0,60.0,L0_D6_U60.pkl
L0_D6_U80,r0/t6.0/t6.0_80.cif,156,3738,3446,292,4.5,True,3.0899399239237355,0.9025629847360768,0.9771412261042132,4.499987104149387,-936.6169,0.0229000000000496,0.0,6.0,80.0,L0_D6_U80.pkl
L0_D7.2_U0,r0/t7.2/t7.2_0.cif,156,3752,3498,254,4.5,True,3.0908229074231786,0.9078211980603381,0.9773623371972912,4.498176784668013,-936.34825,0.2915500000000293,0.0,7.2,0.0,L0_D7.2_U0.pkl
L0_D7.2_U100,r0/t7.2/t7.2_100.cif,156,3804,3476,328,4.5,True,3.099652172100701,0.9069015660398109,0.9770254675414561,4.498108306233745,-936.67127,-0.0314700000000129,0.0,7.2,100.0,L0_D7.2_U100.pkl
L0_D7.2_U120,r0/t7.2/t7.2_120.cif,156,3716,3482,234,4.5,True,3.0857211288762256,0.9124729024409294,0.9770988470289104,4.499287515715491,-936.38506,0.2547400000000834,0.0,7.2,120.0,L0_D7.2_U120.pkl
L0_D7.2_U140,r0/t7.2/t7.2_140.cif,156,3664,3488,176,4.5,True,3.0707816992568344,0.9071570852667744,0.9772913636350284,4.4997028502449234,-936.30435,0.3354500000000371,0.0,7.2,140.0,L0_D7.2_U140.pkl
