structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,umap_1,umap_2
L0_D7.2_U280,r0/t7.2/t7.2_280.cif,0.0,7.199999809265137,280.0,-936.2893676757812,0.3504199981689453,-0.30618677,-3.4004874
L0_D7.2_U300,r0/t7.2/t7.2_300.cif,0.0,7.199999809265137,300.0,-936.2991333007812,0.34068000316619873,2.606192,-1.7413611
L0_D7.2_U320,r0/t7.2/t7.2_320.cif,0.0,7.199999809265137,320.0,-936.1744995117188,0.4652999937534332,3.6417615,1.1970766
L0_D7.2_U340,r0/t7.2/t7.2_340.cif,0.0,7.199999809265137,340.0,-936.0950927734375,0.544730007648468,3.3929126,2.3695424
L0_D7.2_U40,r0/t7.2/t7.2_40.cif,0.0,7.199999809265137,40.0,-936.0870361328125,0.5527799725532532,6.7308216,4.364527
L0_D7.2_U60,r0/t7.2/t7.2_60.cif,0.0,7.199999809265137,60.0,-936.1162109375,0.5235599875450134,6.200607,6.3814473
L0_D7.2_U80,r0/t7.2/t7.2_80.cif,0.0,7.199999809265137,80.0,-936.2665405273438,0.3732599914073944,6.0549483,5.847861
L0_D8.4_U0,r0/t8.4/t8.4_0.cif,0.0,8.399999618530273,0.0,-936.4639892578125,0.17583000659942627,3.4998481,2.2653904
L0_D8.4_U100,r0/t8.4/t8.4_100.cif,0.0,8.399999618530273,100.0,-936.3046875,0.3351399898529053,2.516365,-1.8680956
L0_D8.4_U120,r0/t8.4/t8.4_120.cif,0.0,8.399999618530273,120.0,-936.2675170898438,0.3722899854183197,3.83921,-1.0199888
L0_D8.4_U140,r0/t8.4/t8.4_140.cif,0.0,8.399999618530273,140.0,-936.2213745117188,0.41843000054359436,3.2928414,1.5046331
L0_D8.4_U160,r0/t8.4/t8.4_160.cif,0.0,8.399999618530273,160.0,-936.1654663085938,0.47435998916625977,3.3706245,2.8823996
L0_D8.4_U180,r0/t8.4/t8.4_180.cif,0.0,8.399999618530273,180.0,-936.0524291992188,0.5873600244522095,3.719368,3.2057815
L0_D8.4_U20,r0/t8.4/t8.4_20.cif,0.0,8.399999618530273,20.0,-936.2846069335938,0.3552199900150299,6.089033,3.9501712
L0_D8.4_U200,r0/t8.4/t8.4_200.cif,0.0,8.399999618530273,200.0,-935.9815063476562,0.65829998254776,6.7916236,2.0027876
L0_D8.4_U220,r0/t8.4/t8.4_220.cif,0.0,8.399999618530273,220.0,-936.0154418945312,0.6243500113487244,6.640559,1.7478968
L0_D8.4_U240,r0/t8.4/t8.4_240.cif,0.0,8.399999618530273,240.0,-936.1453247070312,0.4944700002670288,3.9010782,-2.815668
L0_D8.4_U260,r0/t8.4/t8.4_260.cif,0.0,8.399999618530273,260.0,-936.1431274414062,0.49665001034736633,3.6143486,-2.9696867
L0_D8.4_U280,r0/t8.4/t8.4_280.cif,0.0,8.399999618530273,280.0,-936.2542114257812,0.385560005903244,-0.3024053,-3.4039369
L0_D8.4_U300,r0/t8.4/t8.4_300.cif,0.0,8.399999618530273,300.0,-936.3109741210938,0.3287999927997589,2.5989356,-1.7236753
L0_D8.4_U320,r0/t8.4/t8.4_320.cif,0.0,8.399999618530273,320.0,-936.3185424804688,0.32124999165534973,3.5550027,1.0605774
L0_D8.4_U340,r0/t8.4/t8.4_340.cif,0.0,8.399999618530273,340.0,-936.4236450195312,0.2161799967288971,3.6584256,1.2550873
L0_D8.4_U40,r0/t8.4/t8.4_40.cif,0.0,8.399999618530273,40.0,-936.1875,0.4523099958896637,6.634034,4.432579
L0_D8.4_U60,r0/t8.4/t8.4_60.cif,0.0,8.399999618530273,60.0,-936.1660766601562,0.47371000051498413,6.1763744,6.2851872
L0_D8.4_U80,r0/t8.4/t8.4_80.cif,0.0,8.399999618530273,80.0,-936.1065673828125,0.5332099795341492,6.082411,5.968453
