structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2
L0_D9.6_U0,r0/t9.6/t9.6_0.cif,0.0,9.600000381469727,0.0,-936.4817504882812,0.15803000330924988,-0.4874527715235779,-1.7431279663280828
L0_D9.6_U100,r0/t9.6/t9.6_100.cif,0.0,9.600000381469727,100.0,-936.1658325195312,0.47398999333381653,2.315167766383717,-2.545168857514832
L0_D9.6_U120,r0/t9.6/t9.6_120.cif,0.0,9.600000381469727,120.0,-936.2399291992188,0.39989998936653137,3.0700389039847096,-3.2927492785405574
L0_D9.6_U140,r0/t9.6/t9.6_140.cif,0.0,9.600000381469727,140.0,-936.1836547851562,0.45614001154899597,0.43062005628047717,-4.2277862084981574
L0_D9.6_U160,r0/t9.6/t9.6_160.cif,0.0,9.600000381469727,160.0,-936.1085205078125,0.5312600135803223,-0.9719244822910604,-2.2567049922978435
L0_D9.6_U180,r0/t9.6/t9.6_180.cif,0.0,9.600000381469727,180.0,-936.0505981445312,0.5892000198364258,-0.9711559574928882,0.47847893310238376
L0_D9.6_U20,r0/t9.6/t9.6_20.cif,0.0,9.600000381469727,20.0,-936.2767333984375,0.3630400002002716,0.15721142494857987,1.2976393040839473
L0_D9.6_U200,r0/t9.6/t9.6_200.cif,0.0,9.600000381469727,200.0,-936.0115356445312,0.6282899975776672,-1.7200230378439056,1.026533003790146
L0_D9.6_U220,r0/t9.6/t9.6_220.cif,0.0,9.600000381469727,220.0,-936.1178588867188,0.5219600200653076,-2.8072620510237463,0.9658588251250337
L0_D9.6_U240,r0/t9.6/t9.6_240.cif,0.0,9.600000381469727,240.0,-936.3717651367188,0.2680400013923645,0.16924580169327808,-0.9059129942510504
L0_D9.6_U260,r0/t9.6/t9.6_260.cif,0.0,9.600000381469727,260.0,-936.1602172851562,0.4796000123023987,0.8469496128593994,-0.6569114999930313
L0_D9.6_U280,r0/t9.6/t9.6_280.cif,0.0,9.600000381469727,280.0,-936.1768188476562,0.4629800021648407,0.5012551300728274,-3.108554817412956
L0_D9.6_U300,r0/t9.6/t9.6_300.cif,0.0,9.600000381469727,300.0,-936.28515625,0.3546200096607208,4.278536502580978,-3.355242820716465
L0_D9.6_U320,r0/t9.6/t9.6_320.cif,0.0,9.600000381469727,320.0,-936.3936767578125,0.2461100071668625,3.6311297409470935,-4.061070157112943
L0_D9.6_U340,r0/t9.6/t9.6_340.cif,0.0,9.600000381469727,340.0,-936.4857177734375,0.1540900021791458,2.364070057673924,-3.945283655430212
L0_D9.6_U40,r0/t9.6/t9.6_40.cif,0.0,9.600000381469727,40.0,-936.173583984375,0.46619001030921936,0.2218417928016494,2.569780739384317
L0_D9.6_U60,r0/t9.6/t9.6_60.cif,0.0,9.600000381469727,60.0,-936.11865234375,0.5211700201034546,-1.5545451508080586,1.1794318397951582
L0_D9.6_U80,r0/t9.6/t9.6_80.cif,0.0,9.600000381469727,80.0,-936.0568237304688,0.5829499959945679,-1.3828082040347454,-0.8377787860072111
L100_D0_U0,r100/t0/t0_0.cif,100.0,0.0,0.0,-936.25341796875,0.3864000141620636,-2.170520255928041,0.4461232316278253
L100_D0_U100,r100/t0/t0_100.cif,100.0,0.0,100.0,-936.4625854492188,0.17720000445842743,-0.050484922009847555,-1.2626427136169138
L100_D0_U120,r100/t0/t0_120.cif,100.0,0.0,120.0,-936.4664306640625,0.17333999276161194,-0.7690811966937823,-2.2346098032592083
L100_D0_U140,r100/t0/t0_140.cif,100.0,0.0,140.0,-936.2823486328125,0.3574399948120117,-3.568337881259737,-0.6651184868857369
L100_D0_U160,r100/t0/t0_160.cif,100.0,0.0,160.0,-936.203369140625,0.4364599883556366,-2.6851007562913134,-1.2016406494211878
L100_D0_U180,r100/t0/t0_180.cif,100.0,0.0,180.0,-936.0563354492188,0.5834900140762329,-2.9488639212966548,0.8156944148424023
L100_D0_U20,r100/t0/t0_20.cif,100.0,0.0,20.0,-936.1385498046875,0.5012800097465515,-2.0904014547702614,1.7967071318152852
L100_D0_U200,r100/t0/t0_200.cif,100.0,0.0,200.0,-937.1156005859375,-0.47582000494003296,8.189279203155895,1.6183172121085094
L100_D0_U220,r100/t0/t0_220.cif,100.0,0.0,220.0,-936.8573608398438,-0.21759000420570374,10.370044654204126,3.2710206640675796
L100_D0_U240,r100/t0/t0_240.cif,100.0,0.0,240.0,-936.9429931640625,-0.30320000648498535,12.931353087554863,5.311680822044334
L100_D0_U260,r100/t0/t0_260.cif,100.0,0.0,260.0,-936.6248168945312,0.014999999664723873,4.298994839862476,4.568053145539364
