,file_id,r_bottom,displacement,r_upper,energy_values_experimental,adjusted_energy
2591,r40_t9.6_t9.6_80_transformed.cif,40,9.6,80,-936.29542,0.344380000000001
2592,r60_t0_t0_0_transformed.cif,60,0.0,0,-936.33068,0.3091200000000071
2593,r60_t0_t0_100_transformed.cif,60,0.0,100,-936.14863,0.491170000000011
2594,r60_t0_t0_120_transformed.cif,60,0.0,120,-936.10892,0.5308800000000247
2595,r60_t0_t0_140_transformed.cif,60,0.0,140,-936.0517,0.588100000000054
2596,r60_t0_t0_160_transformed.cif,60,0.0,160,-936.01284,0.6269600000000537
2597,r60_t0_t0_180_transformed.cif,60,0.0,180,-936.04447,0.5953299999999899
2598,r60_t0_t0_200_transformed.cif,60,0.0,200,-936.02572,0.6140800000000581
2599,r60_t0_t0_20_transformed.cif,60,0.0,20,-936.15459,0.4852100000000519
2600,r60_t0_t0_220_transformed.cif,60,0.0,220,-936.07085,0.5689500000000862
2601,r60_t0_t0_240_transformed.cif,60,0.0,240,-936.08452,0.5552800000000389
2602,r60_t0_t0_260_transformed.cif,60,0.0,260,-936.09519,0.5446100000000342
2603,r60_t0_t0_280_transformed.cif,60,0.0,280,-936.11705,0.5227500000000873
2604,r60_t0_t0_300_transformed.cif,60,0.0,300,-936.21492,0.4248800000000301
2605,r60_t0_t0_320_transformed.cif,60,0.0,320,-936.54324,0.0965600000000677
2606,r60_t0_t0_340_transformed.cif,60,0.0,340,-936.5416,0.0982000000000198
2607,r60_t0_t0_40_transformed.cif,60,0.0,40,-936.04361,0.5961900000000924
2608,r60_t0_t0_60_transformed.cif,60,0.0,60,-936.08923,0.5505699999999933
2609,r60_t0_t0_80_transformed.cif,60,0.0,80,-936.16971,0.4700900000000274
2610,r60_t1.2_t1.2_0_transformed.cif,60,1.2,0,-936.10037,0.5394300000000385
2611,r60_t1.2_t1.2_100_transformed.cif,60,1.2,100,-936.17516,0.4646400000000312
2612,r60_t1.2_t1.2_120_transformed.cif,60,1.2,120,-936.13874,0.5010600000000522
2613,r60_t1.2_t1.2_140_transformed.cif,60,1.2,140,-936.06975,0.5700500000000375
2614,r60_t1.2_t1.2_160_transformed.cif,60,1.2,160,-936.0426,0.5972000000000435
2615,r60_t1.2_t1.2_180_transformed.cif,60,1.2,180,-936.04425,0.5955500000000029
2616,r60_t1.2_t1.2_200_transformed.cif,60,1.2,200,-936.05675,0.5830500000000711
2617,r60_t1.2_t1.2_20_transformed.cif,60,1.2,20,-936.02331,0.6164899999999989
2618,r60_t1.2_t1.2_220_transformed.cif,60,1.2,220,-936.11191,0.5278900000000704
2619,r60_t1.2_t1.2_240_transformed.cif,60,1.2,240,-936.10029,0.5395100000000639
2620,r60_t1.2_t1.2_260_transformed.cif,60,1.2,260,-936.13822,0.5015799999999899
2621,r60_t1.2_t1.2_280_transformed.cif,60,1.2,280,-936.11404,0.5257599999999911
2622,r60_t1.2_t1.2_300_transformed.cif,60,1.2,300,-936.17705,0.4627500000000282
2623,r60_t1.2_t1.2_320_transformed.cif,60,1.2,320,-936.31856,0.3212399999999888
2624,r60_t1.2_t1.2_340_transformed.cif,60,1.2,340,-936.42505,0.2147499999999809
2625,r60_t1.2_t1.2_40_transformed.cif,60,1.2,40,-936.02944,0.6103600000000142
2626,r60_t1.2_t1.2_60_transformed.cif,60,1.2,60,-936.09546,0.5443400000000338
2627,r60_t1.2_t1.2_80_transformed.cif,60,1.2,80,-936.12071,0.5190900000000056
2628,r60_t2.4_t2.4_0_transformed.cif,60,2.4,0,-936.04703,0.5927700000000868
2629,r60_t2.4_t2.4_100_transformed.cif,60,2.4,100,-936.18675,0.4530500000000756
2630,r60_t2.4_t2.4_120_transformed.cif,60,2.4,120,-936.1523,0.4875000000000682
2631,r60_t2.4_t2.4_140_transformed.cif,60,2.4,140,-936.1223,0.5175000000000409
2632,r60_t2.4_t2.4_160_transformed.cif,60,2.4,160,-936.08823,0.5515700000000834
2633,r60_t2.4_t2.4_180_transformed.cif,60,2.4,180,-936.08653,0.5532699999999977
2634,r60_t2.4_t2.4_200_transformed.cif,60,2.4,200,-936.06996,0.5698399999999992
2635,r60_t2.4_t2.4_20_transformed.cif,60,2.4,20,-936.01772,0.6220799999999826
2636,r60_t2.4_t2.4_220_transformed.cif,60,2.4,220,-936.09311,0.5466900000000123
2637,r60_t2.4_t2.4_240_transformed.cif,60,2.4,240,-936.60046,0.0393400000000383
2638,r60_t2.4_t2.4_260_transformed.cif,60,2.4,260,-936.11007,0.529730000000086
2639,r60_t2.4_t2.4_280_transformed.cif,60,2.4,280,-936.11014,0.5296600000000353
2640,r60_t2.4_t2.4_300_transformed.cif,60,2.4,300,-936.16785,0.4719499999999925
2641,r60_t2.4_t2.4_320_transformed.cif,60,2.4,320,-936.26761,0.372190000000046
