structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2
L320_D4.8_U200,r320/t4.8/t4.8_200.cif,320.0,4.800000190734863,200.0,-936.8868408203124,-0.2470400035381317,4.970253940852427,0.4355237286812486,10.189396,-7.0164323,42.526096,-15.013214
L320_D4.8_U220,r320/t4.8/t4.8_220.cif,320.0,4.800000190734863,220.0,-936.900146484375,-0.260340005159378,5.321219771722778,1.7622619591124211,10.115896,-6.9943514,43.45137,-15.016356
L320_D4.8_U240,r320/t4.8/t4.8_240.cif,320.0,4.800000190734863,240.0,-936.5536499023438,0.0861599966883659,2.3037263000391346,0.3227639042293478,11.42187,-8.632284,40.558178,-0.5713867
L320_D4.8_U260,r320/t4.8/t4.8_260.cif,320.0,4.800000190734863,260.0,-936.8097534179688,-0.1699399948120117,5.871933450361771,2.9918684423012554,11.050085,-8.825009,42.82721,-3.0179515
L320_D4.8_U280,r320/t4.8/t4.8_280.cif,320.0,4.800000190734863,280.0,-936.7810668945312,-0.1412499994039535,7.446631871894933,-1.2124989965173967,9.948418,-9.03393,33.883953,2.2140641
L320_D4.8_U300,r320/t4.8/t4.8_300.cif,320.0,4.800000190734863,300.0,-936.7239990234376,-0.0841900035738945,7.163634756243945,-1.9245033888461232,10.793729,-8.296734,32.99788,-7.0199714
L320_D4.8_U320,r320/t4.8/t4.8_320.cif,320.0,4.800000190734863,320.0,-936.7137451171876,-0.0739500001072883,6.1186905832562175,-4.5599307913325555,11.286041,-7.4888077,25.407999,-19.429888
L320_D4.8_U340,r320/t4.8/t4.8_340.cif,320.0,4.800000190734863,340.0,-936.7880249023438,-0.1482100039720535,6.037679981574583,-3.787417631633516,11.207738,-7.300555,25.21367,-19.934568
L320_D4.8_U40,r320/t4.8/t4.8_40.cif,320.0,4.800000190734863,40.0,-936.3973999023438,0.242369994521141,2.51538860373266,-0.08986652766268843,15.986452,-8.057402,-22.652548,6.3647275
L320_D4.8_U60,r320/t4.8/t4.8_60.cif,320.0,4.800000190734863,60.0,-936.9595336914062,-0.3197099864482879,10.445866009266634,7.215468276809933,8.555802,-7.504327,55.016346,-12.272939
L320_D4.8_U80,r320/t4.8/t4.8_80.cif,320.0,4.800000190734863,80.0,-936.951904296875,-0.3120799958705902,9.73100721861796,5.576361743608756,8.648621,-7.925681,54.783684,-11.296126
L320_D6_U0,r320/t6.0/t6.0_0.cif,320.0,6.0,0.0,-936.0943603515624,0.5454300045967102,-1.6259285152626533,-2.888517920790136,14.782689,-7.193054,-20.665344,0.4574371
L320_D6_U100,r320/t6.0/t6.0_100.cif,320.0,6.0,100.0,-936.7724609375,-0.1326700001955032,8.717202330509263,-1.1912304747053433,10.570858,-8.557224,35.99829,-5.5636683
L320_D6_U120,r320/t6.0/t6.0_120.cif,320.0,6.0,120.0,-936.7988891601562,-0.159060001373291,6.3359318926234085,-4.544992163761459,11.1315365,-7.832476,28.688486,-13.466785
L320_D6_U140,r320/t6.0/t6.0_140.cif,320.0,6.0,140.0,-936.2164306640624,0.4233900010585785,1.234920665582332,-5.744023315549634,12.678325,-6.649934,0.27503946,-17.850029
L320_D6_U160,r320/t6.0/t6.0_160.cif,320.0,6.0,160.0,-936.4434204101562,0.1963600069284439,1.3873349140032436,-4.40269739074484,14.11549,-7.23655,-16.169437,-2.622933
L320_D6_U180,r320/t6.0/t6.0_180.cif,320.0,6.0,180.0,-936.6665649414062,-0.026750000193715,2.8684067519953933,-1.7670060894591828,10.795553,-7.096163,-13.046056,-1.1242088
L320_D6_U20,r320/t6.0/t6.0_20.cif,320.0,6.0,20.0,-936.1459350585938,0.4938800036907196,-0.16051637949403155,-2.719660336525634,15.283166,-7.795091,-21.302555,2.7313685
L320_D6_U200,r320/t6.0/t6.0_200.cif,320.0,6.0,200.0,-936.8180541992188,-0.1782799959182739,5.267320535320487,0.6415484700800907,10.233145,-7.017479,43.00766,-14.404731
L320_D6_U220,r320/t6.0/t6.0_220.cif,320.0,6.0,220.0,-936.8474731445312,-0.2076999992132187,6.158446191438712,2.5676453889554365,10.080685,-7.0481477,44.236042,-14.684363
L320_D6_U240,r320/t6.0/t6.0_240.cif,320.0,6.0,240.0,-936.54541015625,0.0944200009107589,3.063141446020763,0.5872267481549921,11.504654,-8.626769,40.846336,-0.3438563
L320_D6_U260,r320/t6.0/t6.0_260.cif,320.0,6.0,260.0,-936.4189453125,0.2208299934864044,5.246593676966115,-0.8412842657165233,11.082044,-8.747214,40.13358,-3.6497927
L320_D6_U280,r320/t6.0/t6.0_280.cif,320.0,6.0,280.0,-936.3148803710938,0.3249000012874603,5.647213662828626,-4.361832371557159,9.769259,-9.272919,34.061264,3.8397677
