structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy
L20_D2.4_U220,r20/t2.4/t2.4_220.cif,20.0,2.4,220.0,-936.26054,0.3792600000000448
L20_D2.4_U240,r20/t2.4/t2.4_240.cif,20.0,2.4,240.0,-936.49312,0.14668000000006032
L20_D2.4_U260,r20/t2.4/t2.4_260.cif,20.0,2.4,260.0,-936.79168,-0.15188000000000557
L20_D2.4_U280,r20/t2.4/t2.4_280.cif,20.0,2.4,280.0,-936.38064,0.25916000000006534
L20_D2.4_U300,r20/t2.4/t2.4_300.cif,20.0,2.4,300.0,-936.19971,0.4400900000000547
L20_D2.4_U320,r20/t2.4/t2.4_320.cif,20.0,2.4,320.0,-936.27215,0.367650000000026
L20_D2.4_U340,r20/t2.4/t2.4_340.cif,20.0,2.4,340.0,-936.11019,0.5296100000000479
L20_D3.6_U0,r20/t3.6/t3.6_0.cif,20.0,3.6,0.0,-936.14628,0.4935199999999895
L20_D3.6_U20,r20/t3.6/t3.6_20.cif,20.0,3.6,20.0,-936.11477,0.5250300000000152
L20_D3.6_U40,r20/t3.6/t3.6_40.cif,20.0,3.6,40.0,-936.11002,0.5297800000000734
L20_D3.6_U60,r20/t3.6/t3.6_60.cif,20.0,3.6,60.0,-936.11889,0.5209100000000717
L20_D3.6_U80,r20/t3.6/t3.6_80.cif,20.0,3.6,80.0,-936.17447,0.46532999999999447
L20_D3.6_U100,r20/t3.6/t3.6_100.cif,20.0,3.6,100.0,-936.3777,0.2621000000000322
L20_D3.6_U120,r20/t3.6/t3.6_120.cif,20.0,3.6,120.0,-936.4079,0.231899999999996
L20_D3.6_U140,r20/t3.6/t3.6_140.cif,20.0,3.6,140.0,-936.31073,0.32907000000000153
L20_D3.6_U160,r20/t3.6/t3.6_160.cif,20.0,3.6,160.0,-936.09628,0.5435200000000577
L20_D3.6_U180,r20/t3.6/t3.6_180.cif,20.0,3.6,180.0,-936.03814,0.601660000000038
L20_D3.6_U200,r20/t3.6/t3.6_200.cif,20.0,3.6,200.0,-936.08485,0.5549500000000762
L20_D3.6_U220,r20/t3.6/t3.6_220.cif,20.0,3.6,220.0,-936.28765,0.3521500000000515
L20_D3.6_U240,r20/t3.6/t3.6_240.cif,20.0,3.6,240.0,-936.68788,-0.048079999999913525
L20_D3.6_U260,r20/t3.6/t3.6_260.cif,20.0,3.6,260.0,-936.75268,-0.1128800000000183
L20_D3.6_U280,r20/t3.6/t3.6_280.cif,20.0,3.6,280.0,-936.4745,0.165300000000002
L20_D3.6_U300,r20/t3.6/t3.6_300.cif,20.0,3.6,300.0,-936.50929,0.13051000000007207
L20_D3.6_U320,r20/t3.6/t3.6_320.cif,20.0,3.6,320.0,-936.34292,0.2968799999999874
L20_D3.6_U340,r20/t3.6/t3.6_340.cif,20.0,3.6,340.0,-936.48106,0.15874000000007982
L20_D4.8_U0,r20/t4.8/t4.8_0.cif,20.0,4.8,0.0,-936.16842,0.4713800000000674
L20_D4.8_U20,r20/t4.8/t4.8_20.cif,20.0,4.8,20.0,-936.09211,0.5476899999999887
L20_D4.8_U40,r20/t4.8/t4.8_40.cif,20.0,4.8,40.0,-936.08653,0.5532699999999977
L20_D4.8_U60,r20/t4.8/t4.8_60.cif,20.0,4.8,60.0,-936.07804,0.5617600000000493
L20_D4.8_U80,r20/t4.8/t4.8_80.cif,20.0,4.8,80.0,-936.21843,0.42137000000002445
L20_D4.8_U100,r20/t4.8/t4.8_100.cif,20.0,4.8,100.0,-936.51305,0.12675000000001546
L20_D4.8_U120,r20/t4.8/t4.8_120.cif,20.0,4.8,120.0,-936.5792,0.06060000000002219
L20_D4.8_U140,r20/t4.8/t4.8_140.cif,20.0,4.8,140.0,-936.37492,0.26488000000006195
L20_D4.8_U160,r20/t4.8/t4.8_160.cif,20.0,4.8,160.0,-936.0867,0.5531000000000859
L20_D4.8_U180,r20/t4.8/t4.8_180.cif,20.0,4.8,180.0,-936.01983,0.6199700000000803
L20_D4.8_U200,r20/t4.8/t4.8_200.cif,20.0,4.8,200.0,-936.07159,0.5682100000000219
L20_D4.8_U220,r20/t4.8/t4.8_220.cif,20.0,4.8,220.0,-936.28057,0.35923000000002503
L20_D4.8_U240,r20/t4.8/t4.8_240.cif,20.0,4.8,240.0,-936.4922,0.14760000000001128
L20_D4.8_U260,r20/t4.8/t4.8_260.cif,20.0,4.8,260.0,-936.52694,0.1128600000000688
L20_D4.8_U280,r20/t4.8/t4.8_280.cif,20.0,4.8,280.0,-936.47842,0.1613800000000083
L20_D4.8_U300,r20/t4.8/t4.8_300.cif,20.0,4.8,300.0,-936.50051,0.13929000000007363
